date,hour,sx,sy,ex,ey,h,time,e,x
2019-04-02,16:10:06,511,315,401,99,167,6,0,1
2019-04-02,16:11:15,379,105,546,337,164,3,1,0
2019-04-02,16:11:21,547,354,398,100,166,5,0,1
2019-04-02,16:12:30,389,99,536,320,164,3,1,0
2019-04-02,16:28:11,504,319,151,296,166,3,0,0
2019-04-02,16:28:35,184,245,555,347,163,6,0,0
2019-04-02,16:29:20,222,260,560,364,175,3,0,0
2019-04-02,16:30:09,541,346,561,372,136,2,0,0
2019-04-02,16:30:53,531,337,111,274,170,3,0,0
2019-04-02,16:31:59,515,320,140,256,165,3,0,0
2019-04-02,16:33:10,189,228,400,407,157,2,0,0
2019-04-02,16:33:22,412,381,391,99,165,5,0,1
2019-04-02,16:33:36,378,113,123,244,158,5,1,0
2019-04-02,16:34:53,157,253,430,114,159,4,0,1
2019-04-02,16:34:55,173,231,422,111,166,4,0,1
2019-04-02,16:34:55,337,142,352,141,159,2,0,0
2019-04-02,16:35:50,382,102,542,320,164,3,1,0
2019-04-02,16:38:37,428,120,135,242,163,4,1,0
2019-04-02,16:55:45,156,225,457,120,154,3,0,1
2019-04-02,16:55:47,377,129,399,99,142,2,0,0
2019-04-02,16:57:51,390,97,261,202,169,3,1,0
2019-04-02,17:08:15,143,232,340,168,160,1,0,1
2019-04-02,17:08:17,315,181,453,137,191,2,0,1
2019-04-02,17:08:18,395,132,393,99,148,2,0,0
2019-04-02,17:23:20,490,310,390,394,166,9,0,0
2019-04-02,17:23:33,414,374,411,129,167,4,0,1
2019-04-02,17:23:34,352,137,385,103,153,2,0,0
2019-04-02,17:30:06,387,96,571,363,163,3,1,0
2019-04-02,17:30:17,522,329,441,130,166,4,0,1
2019-04-02,17:30:54,374,100,127,269,154,4,1,0
2019-04-02,17:31:42,138,243,393,99,157,4,0,1
2019-04-02,17:32:47,375,108,113,280,186,4,1,0
2019-04-02,17:37:39,390,97,404,410,163,3,1,0
2019-04-02,17:37:49,401,380,387,103,164,5,0,1
2019-04-02,17:40:52,388,142,395,369,172,2,1,0
2019-04-02,17:42:32,383,100,168,238,170,4,1,0
2019-04-02,17:43:30,411,367,242,233,159,2,0,0
2019-04-02,17:43:49,159,212,567,359,164,3,0,0
2019-04-02,17:44:49,150,195,311,161,157,2,0,1
2019-04-02,17:44:53,328,173,340,148,178,4,0,0
2019-04-02,17:44:56,266,222,391,105,186,4,0,1
2019-04-02,17:56:47,539,342,118,248,168,3,0,0
2019-04-02,17:57:03,144,266,540,320,165,3,0,0
2019-04-02,17:58:01,374,107,330,153,145,1,0,0
2019-04-02,17:58:04,395,119,118,225,182,3,1,0
2019-04-02,17:58:04,344,142,394,100,155,2,0,0
2019-04-02,17:58:30,149,226,387,396,173,3,0,0
2019-04-02,17:59:44,540,348,360,378,137,6,0,0
2019-04-02,17:59:58,373,351,452,218,165,4,0,0
2019-04-02,18:00:02,446,202,560,372,164,3,0,0
2019-04-02,18:02:15,377,383,111,256,163,4,0,0
2019-04-02,18:02:40,139,234,276,229,137,2,0,0
2019-04-02,18:02:42,270,251,393,407,181,3,0,0
2019-04-02,18:03:26,385,302,399,99,183,7,0,1
2019-04-02,18:03:31,340,138,309,151,161,1,0,0
2019-04-02,18:03:34,396,107,414,389,172,4,1,0
2019-04-02,18:03:35,324,146,335,143,163,2,0,0
2019-04-02,18:03:37,369,131,274,231,184,5,1,0
2019-04-02,18:03:38,214,243,124,237,129,1,0,0
2019-04-02,18:03:40,325,151,337,141,137,1,0,0
2019-04-02,18:03:42,413,353,113,231,178,5,0,0
2019-04-02,18:06:27,487,305,146,224,168,3,0,0
2019-04-02,18:07:46,172,244,561,372,168,4,0,0
2019-04-02,18:07:48,150,247,426,388,158,3,0,0
2019-04-02,18:08:03,390,374,125,242,160,3,0,0
2019-04-02,18:11:11,157,226,385,104,160,5,0,1
2019-04-02,18:11:17,389,97,396,99,166,5,0,0
2019-04-02,18:17:38,518,319,130,240,167,3,0,0
2019-04-02,18:17:55,141,250,580,373,165,6,0,0
2019-04-02,18:24:02,208,255,593,384,172,2,0,0
2019-04-02,18:24:15,507,310,401,99,175,6,0,1
2019-04-02,18:25:25,216,223,388,105,165,3,0,1
2019-04-02,18:26:46,540,345,463,214,168,9,0,0
2019-04-02,18:27:17,444,179,399,99,171,5,0,1
2019-04-02,18:28:58,382,99,145,266,164,3,1,0
2019-04-02,18:29:54,367,115,387,97,121,1,0,0
2019-04-02,18:30:02,394,134,145,231,169,11,1,0
2019-04-02,18:30:37,225,214,364,107,163,3,0,1
2019-04-02,18:31:46,154,225,396,135,167,5,0,1
2019-04-02,18:31:48,352,136,388,102,154,2,0,0
2019-04-02,18:32:04,382,99,399,175,166,6,0,0
2019-04-02,18:32:09,387,168,385,103,170,4,0,0
2019-04-02,18:45:21,146,216,460,124,169,3,0,1
2019-04-02,18:45:23,394,132,385,103,141,2,0,0
2019-04-02,18:45:26,374,286,383,175,154,1,0,1
2019-04-02,18:45:29,215,195,124,183,190,8,0,0
2019-04-02,18:45:47,152,227,417,395,160,3,0,0
2019-04-02,18:46:09,409,383,599,390,130,1,0,0
2019-04-02,18:46:26,556,368,130,179,165,5,0,0
2019-04-02,18:46:31,144,223,437,207,182,4,0,0
2019-04-02,18:46:33,439,179,449,124,188,1,0,1
